Title,Subject,Inventors
Symbiosis in Parasites,Biology,"Moody, Lila L."
Metabolism & Physical Exercise,Biology,"Frazier, Lucas T."
air quality monitoring,Electronics,"Shepard, Ethan V."
Agro Weeder technology,Electronics,"Horne, Kamal U."
iot based traffic control,Electronics,"Guthrie, Yolanda T."
Voice Controlled Home Automation,Electronics,"Blackwell, Uta D."
real time system,Electronics,"Johns, Vivien M."
cadence design,Electronics,"Haynes, Francis S."
automation of simulation,Electronics,"Hopkins, Ferdinand U."
ADS Advanced Design System simulations,Electronics,"Farrell, Germane F."
analog receiver,Electronics,"Dale, Madaline B."
RECEIVER DESIGN USING ADS,Electronics,"Horton, Quincy O."
electronic instruments,Electronics,"Barnes, Dawn K."
robot-seminar topic and report,Electronics,"Valentine, Axel J."
humanoid robot-seminar topic and report,Electronics,"Dunn, Kelly L."
robotics-seminar topic and report,Electronics,"Kaufman, Nell I."
home automation-seminar topic and report,Electronics,"Shepard, Ethan V."
IOT-seminar topic and report,Electronics,"Horne, Kamal U."
5G-seminar topic and report,Electronics,"Guthrie, Yolanda T."
advanced communication system,Electronics,"Blackwell, Uta D."
IOT Based Smart Energy,Electronics,"Johns, Vivien M."
devops,Electronics,"Haynes, Francis S."
QUADCOPTER-DESIGN-CONSTRUCTION-TESTING,Electronics,"Hopkins, Ferdinand U."
energy optimization in wireless sensor network,Electronics,"Farrell, Germane F."
metal detector robot,Electronics,"Dale, Madaline B."
wireless internet service,Electronics,"Horton, Quincy O."
military robot,Electronics,"Barnes, Dawn K."
military robotics,Electronics,"Valentine, Axel J."
Application of Image Processing in Military,Electronics,"Dunn, Kelly L."
military applications of wireless sensor networks,Electronics,"Kaufman, Nell I."
military applications artificial intelligence,Electronics,Camille Abboud
secure automation system,Electronics,Christopher Abraham
